Non-Terminal,$,AND,ARROW,AS,ASSIGN,ASSIGN_DESTRUCT,BASE,COLON,COMMA,CONCAT,CONCAT_WS,DIV,DOT,ELIF,ELSE,EQ,FALSE,FOR,FUNCTION,GE,GREATER_THAN,IDENT,IF,IN,INHERITS,IS,LBRACE,LE,LESS_THAN,LET,LPAREN,MINUS,MOD,MULT,NEQ,NEW,NUMBER,OR,PLUS,POW,RBRACE,RPAREN,SELF,SEMICOLON,STRING,TRUE,TYPE,WHILE
IfBody,,,,,,,"Expr",,,,,,,,,,"Expr",,,,,"Expr","Expr",,,,"BlockStmt",,,"Expr","Expr","Expr",,,,"Expr","Expr",,,,,,"Expr",,"Expr","Expr",,
IfExpr,,,,,,,,,,,,,,,,,,,,,,,"IF LPAREN Expr RPAREN IfBody ElifList ELSE IfBody",,,,,,,,,,,,,,,,,,,,,,,,,
LetBody,,,,,,,"Expr",,,,,,,,,,"Expr","ForStmt",,,,"Expr","Expr",,,,"BlockStmt",,,"Expr","Expr","Expr",,,,"Expr","Expr",,,,,,"Expr",,"Expr","Expr",,"WhileStmt"
LetExpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LET VarBindingList IN LetBody",,,,,,,,,,,,,,,,,,
MethodDef,,,,,,,,,,,,,,,,,,,,,,"IDENT LPAREN ArgIdList RPAREN FunctionBody",,,,,,,,,,,,,,,,,,,,,,,,,,
OrExpr,,,,,,,"AndExpr OrExpr'",,,,,,,,,,"AndExpr OrExpr'",,,,,"AndExpr OrExpr'",,,,,,,,,"AndExpr OrExpr'","AndExpr OrExpr'",,,,"AndExpr OrExpr'","AndExpr OrExpr'",,,,,,"AndExpr OrExpr'",,"AndExpr OrExpr'","AndExpr OrExpr'",,
OrExpr',,"ε",,"ε",,,"ε",,"ε","ε","ε","ε",,"ε","ε","ε","ε",,,"ε","ε","ε","ε","ε",,"ε","ε","ε","ε","ε","ε","ε","ε","ε","ε","ε","ε","OR AndExpr OrExpr'","ε","ε",,"ε","ε","ε","ε","ε",,
Power,,,,,,,"Unary",,,,,,,,,,"Unary",,,,,"Unary",,,,,,,,,"Unary","Unary",,,,"Unary","Unary",,,,,,"Unary",,"Unary","Unary",,
Primary,,,,,,,"BASE LPAREN ArgList RPAREN",,,,,,,,,,"FALSE",,,,,"IDENT PrimaryTail",,,,,,,,,"LPAREN Expr RPAREN",,,,,"NEW IDENT LPAREN ArgList RPAREN","NUMBER",,,,,,"SELF PrimaryTail",,"STRING","TRUE",,
PrimaryTail,,"ε",,"ε","ASSIGN Expr","ASSIGN_DESTRUCT Expr","ε",,"ε","ε","ε","ε","DOT IDENT PrimaryTail","ε","ε","ε","ε",,,"ε","ε","ε","ε","ε",,"ε","ε","ε","ε","ε","LPAREN ArgList RPAREN PrimaryTail","ε","ε","ε","ε","ε","ε","ε","ε","ε",,"ε","ε","ε","ε","ε",,
Program,"StmtList",,,,,,"StmtList",,,,,,,,,,"StmtList","StmtList","StmtList",,,"StmtList","StmtList",,,,"StmtList",,,"StmtList","StmtList","StmtList",,,,"StmtList","StmtList",,,,,,"StmtList",,"StmtList","StmtList","StmtList","StmtList"
Stmt,,,,,,,"Expr",,,,,,,,,,"Expr","ForStmt","FunctionDef",,,"Expr","Expr",,,,"BlockStmt",,,"Expr","Expr","Expr",,,,"Expr","Expr",,,,,,"Expr",,"Expr","Expr","TypeDef","WhileStmt"
StmtList,"ε",,,,,,"TerminatedStmt StmtList",,,,,,,,,,"TerminatedStmt StmtList","TerminatedStmt StmtList","TerminatedStmt StmtList",,,"TerminatedStmt StmtList","TerminatedStmt StmtList",,,,"TerminatedStmt StmtList",,,"TerminatedStmt StmtList","TerminatedStmt StmtList","TerminatedStmt StmtList",,,,"TerminatedStmt StmtList","TerminatedStmt StmtList",,,,"ε",,"TerminatedStmt StmtList",,"TerminatedStmt StmtList","TerminatedStmt StmtList","TerminatedStmt StmtList","TerminatedStmt StmtList"
Term,,,,,,,"Factor Term'",,,,,,,,,,"Factor Term'",,,,,"Factor Term'",,,,,,,,,"Factor Term'","Factor Term'",,,,"Factor Term'","Factor Term'",,,,,,"Factor Term'",,"Factor Term'","Factor Term'",,
Term',,"ε",,"ε",,,"ε",,"ε","ε","ε","DIV Factor Term'",,"ε","ε","ε","ε",,,"ε","ε","ε","ε","ε",,"ε","ε","ε","ε","ε","ε","ε","MOD Factor Term'","MULT Factor Term'","ε","ε","ε","ε","ε","ε",,"ε","ε","ε","ε","ε",,
TerminatedStmt,,,,,,,"Stmt SEMICOLON",,,,,,,,,,"Stmt SEMICOLON","Stmt SEMICOLON","Stmt SEMICOLON",,,"Stmt SEMICOLON","Stmt SEMICOLON",,,,"Stmt SEMICOLON",,,"Stmt SEMICOLON","Stmt SEMICOLON","Stmt SEMICOLON",,,,"Stmt SEMICOLON","Stmt SEMICOLON",,,,,,"Stmt SEMICOLON",,"Stmt SEMICOLON","Stmt SEMICOLON","Stmt SEMICOLON","Stmt SEMICOLON"
TypeAnnotation,,,"ε",,"ε",,,"COLON IDENT","ε",,,,,,,,,,,,,,,,,,"ε",,,,,,,,,,,,,,,"ε",,"ε",,,,
TypeBaseArgs,,,,,,,,,,,,,,,,,,,,,,,,,,,"ε",,,,"LPAREN ArgList RPAREN",,,,,,,,,,,,,,,,,
TypeBody,,,,,,,,,,,,,,,,,,,,,,"TypeMember TypeBody",,,,,,,,,,,,,,,,,,,"ε",,,,,,,
TypeDef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TYPE IDENT TypeParams TypeInheritance LBRACE TypeBody RBRACE",
TypeInheritance,,,,,,,,,,,,,,,,,,,,,,,,,"INHERITS IDENT TypeBaseArgs",,"ε",,,,,,,,,,,,,,,,,,,,,
TypeMember,,,,,,,,,,,,,,,,,,,,,,"IDENT TypeMemberTail",,,,,,,,,,,,,,,,,,,,,,,,,,
TypeMemberTail,,,,,"TypeAnnotation TypeMemberTail'",,,"TypeAnnotation TypeMemberTail'",,,,,,,,,,,,,,,,,,,,,,,"LPAREN ArgIdList RPAREN TypeAnnotation FunctionBody SEMICOLON",,,,,,,,,,,,,"TypeAnnotation TypeMemberTail'",,,,
TypeMemberTail',,,,,"ASSIGN Expr SEMICOLON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SEMICOLON",,,,
TypeParams,,,,,,,,,,,,,,,,,,,,,,,,,"ε",,"ε",,,,"LPAREN ArgIdList RPAREN",,,,,,,,,,,,,,,,,
Unary,,,,,,,"Primary AsExpr",,,,,,,,,,"Primary AsExpr",,,,,"Primary AsExpr",,,,,,,,,"Primary AsExpr","MINUS Unary",,,,"Primary AsExpr","Primary AsExpr",,,,,,"Primary AsExpr",,"Primary AsExpr","Primary AsExpr",,
VarBinding,,,,,,,,,,,,,,,,,,,,,,"IDENT TypeAnnotation ASSIGN Expr",,,,,,,,,,,,,,,,,,,,,,,,,,
VarBindingList,,,,,,,,,,,,,,,,,,,,,,"VarBinding VarBindingListTail",,,,,,,,,,,,,,,,,,,,,,,,,,
VarBindingListTail,,,,,,,,,"COMMA VarBinding VarBindingListTail",,,,,,,,,,,,,,,"ε",,,,,,,,,,,,,,,,,,,,,,,,
WhileBody,,,,,,,"Expr",,,,,,,,,,"Expr",,,,,"Expr","Expr",,,,"BlockStmt",,,"Expr","Expr","Expr",,,,"Expr","Expr",,,,,,"Expr",,"Expr","Expr",,
WhileStmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WHILE Expr WhileBody"
